Flightno,FlightDepcode,FlightArrcode,PlannedDeptime,PlannedArrtime,prob
G5281X,DOY,DLC,1498863600,1498866000,0.05665709933070764
GY7113,KWE,KHN,1498863600,1498869900,0.7794100296929178
JR1549,TXN,CGO,1498863600,1498874100,0.9503551229474174
SC4959,TNA,SYX,1498863600,1498883100,0.9851838780505745
SC4959,TNA,XMN,1498863600,1498871700,0.9598025501545173
SC4967,XMN,TAO,1498863900,1498877700,0.9609338631291723
SC4967,XMN,HSN,1498863900,1498869000,0.9453527423006896
PN6360,CGO,CKG,1498864200,1498871100,0.9104404405733286
PN6422,HFE,CKG,1498864200,1498871700,0.9273548766692745
DR6577,KMG,UYN,1498864500,1498874400,0.923211549364544
8L9895,LJG,KWE,1498865100,1498870500,0.9305259797420207
NS3255,SJW,HRB,1498865400,1498872900,0.9369974038285588
SC4883,TAO,NGB,1498865700,1498872300,0.9583739993047419
SC4883,TAO,HAK,1498865700,1498884900,0.9814514174642732
OQ2305,CKG,CAN,1498866000,1498873200,0.9044500251540625
NS3287,SJW,HET,1498866300,1498870500,0.9286199751198948
GX8873,NNG,TAO,1498866600,1498883400,0.9584911603777708
SC4623,TAO,DLC,1498866600,1498870200,0.952766274714474
GX8873,NNG,XFN,1498866600,1498873200,0.9197736464967342
SC4797,XMN,INC,1498950000,1498967400,0.9924835927585235
SC4797,XMN,WUH,1498950000,1498956300,0.960442659653016
8L9643,KMG,LUM,1498950300,1498953900,0.9424322467772784
JD5281,PEK,JHG,1498950300,1498971900,0.9904741113039209
GS7612,HAK,HUZ,1498951800,1498956000,0.8855360853881447
GS7612,HAK,XIY,1498951800,1498967400,0.9830208036508019
SC4883,TAO,NGB,1498952100,1498958700,0.969274654990296
SC4883,TAO,HAK,1498952100,1498971300,0.9856417821652359
GS7533,URC,YIN,1498952100,1498956000,0.9375183827202033
JR1548,HRB,NBS,1498952400,1498957500,0.9534360356171323
ZH9163,PEK,CTU,1498952700,1498964400,0.9521632958634639
GX8873,NNG,TAO,1498953000,1498969800,0.9779128313446304
KY8351,KMG,LUM,1499040000,1499043600,0.9646269518379479
GX8865,NNG,XIY,1499040000,1499047800,0.971127074953111
8L9929,DLU,JHG,1499041500,1499045100,0.9672184420543575
GX7845,NNG,LHW,1499041800,1499051400,0.9687284988748522
JD5719,KWL,TYN,1499042100,1499051100,0.9764187187967238
8L9910,KMG,JHG,1499043000,1499046600,0.9635617401596018
G52621,KWE,LZO,1499043000,1499046000,0.9604204112252276
HO1050,KWE,TAO,1499043300,1499064000,0.986866061855079
HO1050,KWE,HGH,1499043300,1499052000,0.9479406598800972
GX8993,TNA,ZUH,1499043300,1499060400,0.9942409737504277
GX8865,NNG,XIY,1499126400,1499134200,0.974442852076346
MU2279,XIY,XNN,1499126700,1499132100,0.9359543604534759
GX8979,NNG,LHW,1499127000,1499141400,0.9785580165742965
8L9929,DLU,JHG,1499127900,1499131500,0.9714053749877815
GX7863,HAK,LHW,1499128200,1499144400,0.9880232003290491
GX7863,HAK,NAO,1499128200,1499136600,0.9733614072846328
GX7877,NNG,TYN,1499216400,1499230500,0.9775248784215392
GX7891,TNA,LHW,1499216400,1499229000,0.9661391445382783
GX8957,NNG,SWA,1499217000,1499222400,0.9682531343894635
TV9844,RKZ,CTU,1499217300,1499225400,0.9863514587622084
SC4967,HSN,TAO,1499217600,1499223300,0.9763576672110357
FU6647,NNG,YIH,1499218200,1499224200,0.9705032869253926
MU2426,XIY,XMN,1499218500,1499228400,0.9641934330367357
SC1163,HET,HLD,1499218800,1499226300,0.9788808709817934
8L9709,LCX,NKG,1499218800,1499224800,0.9472436609126507
SC4915,DLC,TNA,1499219100,1499223600,0.9864866541713453
SC4915,DLC,NNG,1499219100,1499237700,0.9944554338958346
SC8731,WUH,KWL,1499219700,1499225100,0.963552163792542
FU6583,FOC,WUH,1499303400,1499309100,0.9525224798094798
FU6583,FOC,XIY,1499303400,1499317800,0.9849284686931163
MU212,PVG,CGO,1499303700,1499310600,0.925638508805685
HU7369,WEF,DLC,1499304300,1499307900,0.9637895384297652
FU6647,NNG,YIH,1499304600,1499310600,0.972755185188682
GS7936,CKG,TSN,1499305200,1499314500,0.9775476573112751
NS3261,ZQZ,XMN,1499305200,1499320500,0.9955026608310092
NS3261,ZQZ,SJW,1499305200,1499308200,0.9843455664815
CZ6248,LZO,SZX,1499305500,1499312700,0.9793961014996889
SC4797,WUH,INC,1499305800,1499313000,0.9787372731306089
SC8731,WUH,KWL,1499306100,1499311500,0.9570888135158683
8L9895,KWE,SWA,1499306100,1499312700,0.9615168516717054
UQ2007,URC,SHF,1499392800,1499396400,0.9676151657529722
CZ8620,HET,DLC,1499392800,1499398500,0.9699866398800929
SC4959,XMN,SYX,1499393700,1499401500,0.9936828886377135
G52622,LZO,KWE,1499394000,1499396700,0.963458370727978
TV9867,DAX,HGH,1499394300,1499402700,0.9591090373209978
GX8873,XFN,TAO,1499394300,1499401800,0.9788459983000346
GS6684,CIF,HET,1499394600,1499399400,0.9702574152251104
MF8193,FOC,HLD,1499394600,1499416800,0.9913398522779358
9H8308,HAK,XIY,1499394600,1499404500,0.9696554009764309
MU5809,ZAT,KMG,1499395800,1499399100,0.9681960942902826
UQ2007,URC,SHF,1499479200,1499482800,0.9676151657529722
8L9930,JHG,DLU,1499479800,1499483400,0.9658960694886405
GX8873,XFN,TAO,1499480700,1499488200,0.9720366889073143
GX8979,YBP,LHW,1499481000,1499487000,0.9696022191426278
MF8617,FOC,INC,1499569200,1499586600,0.9882307627426486
ZH9655,CAN,SHE,1499570100,1499583600,0.9780131507014109
SC1161,TNA,SHE,1499571000,1499577300,0.9831680192583399
UQ2008,SHF,URC,1499571000,1499574600,0.9725180304451693
